# Time_s	x	xdot	xddot	xdddot
2.465000	1.293945	0.292969	-0.395508	-0.566406
2.470000	0.732422	0.644531	0.058594	-0.615234
2.475000	-0.107422	0.439453	0.966797	-2.172852
2.480000	-0.249023	-1.030273	0.200195	1.171875
2.485000	1.186523	-0.781250	-0.888672	0.180664
2.490000	1.821289	0.322266	-0.449219	-0.625000
2.495000	1.196289	0.708008	0.087891	-0.649414
2.500000	0.283203	0.527344	0.209961	-1.655273
2.505000	-0.312500	-0.136719	1.020508	0.751953
2.510000	0.288086	-0.898438	-0.522461	0.551758
2.515000	1.240234	-0.078125	-0.620117	-0.341797
2.520000	1.074219	0.576172	-0.102539	-0.649414
2.525000	0.249023	0.595703	0.258789	-2.275391
2.530000	-0.405273	-0.302734	1.245117	1.079102
2.535000	0.502930	-1.157227	-0.678711	0.698242
2.540000	1.728516	-0.117188	-0.727539	-0.375977
2.545000	1.557617	0.639648	-0.097656	-0.708008
2.550000	0.664062	0.634766	0.185547	-0.517578
2.555000	-0.112305	0.322266	0.815430	-1.621094
2.560000	-0.175781	-0.825195	0.048828	0.864258
2.565000	0.927734	-0.507812	-0.732422	0.014648
2.570000	1.274414	0.371094	-0.332031	-0.600586
